source_result_dir,case_id,mask_strategy,mask_intensity,seed,decision_index,m3star_action_id,m3star_action_cost,xgboost_action_id,logistic_action_id,experts_agree,candidate_action_id,candidate_action_cost,candidate_reachability,candidate_action_value_probability,m3star_action_value_probability,candidate_action_cost_to_go,m3star_action_cost_to_go,xgboost_candidate_probability,xgboost_m3star_probability,xgboost_candidate_utility,xgboost_m3star_utility,logistic_candidate_probability,logistic_m3star_probability,logistic_candidate_utility,logistic_m3star_utility,candidate_intended_gap_precision,m3star_intended_gap_precision,candidate_intended_gap_recall,m3star_intended_gap_recall,candidate_critical_gap_overlap,m3star_critical_gap_overlap,candidate_transition_reachability,m3star_transition_reachability,candidate_transition_noninferior,candidate_differs_from_m3star,consensus_substitution_eligible,transition_gated_substitution_eligible,xgboost_episode_success,logistic_episode_success,candidate_recovered_count,m3star_recovered_count,candidate_zero_yield_offline,m3star_zero_yield_offline
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.4,37,1,C07-AA-002,2.0,C07-AA-002,C07-AA-002,1,C07-AA-002,2.0,0.7693626284599304,0.8001995086669922,0.8001995086669922,2.3428502082824707,2.3428502082824707,0.9896978735923767,0.9896978735923767,0.7896978735923768,0.7896978735923768,0.960882115337666,0.960882115337666,0.7608821153376659,0.7608821153376659,1.0,1.0,1.0,1.0,2.0,2.0,0.20367008901729378,0.20367008901729378,1,0,0,0,1,1,1,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.4,37,2,C07-AA-003,1.0,C07-AA-004,C07-AA-003,0,,,,,,,,,0.45390838384628296,,0.353908383846283,,0.6051753478092092,,0.5051753478092093,,,,,,,,,0,0,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.4,41,0,C07-AA-001,1.0,C07-AA-001,C07-AA-001,1,C07-AA-001,1.0,0.9284948110580444,0.9350534081459045,0.9350534081459045,0.9110897183418274,0.9110897183418274,0.9563491344451904,0.9563491344451904,0.8563491344451905,0.8563491344451905,0.924806628669732,0.924806628669732,0.824806628669732,0.824806628669732,1.0,1.0,1.0,1.0,2.0,2.0,0.20005735145724746,0.20005735145724746,1,0,0,0,1,1,1,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.4,41,1,C07-AA-003,1.0,C07-AA-002,C07-AA-003,0,,,,,,,,,0.43404683470726013,,0.33404683470726015,,0.29094380928903546,,0.19094380928903545,,,,,,,,,0,0,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.4,53,0,C07-AA-001,1.0,C07-AA-001,C07-AA-001,1,C07-AA-001,1.0,0.9284948110580444,0.9350534081459045,0.9350534081459045,0.9110897183418274,0.9110897183418274,0.9563491344451904,0.9563491344451904,0.8563491344451905,0.8563491344451905,0.924806628669732,0.924806628669732,0.824806628669732,0.824806628669732,1.0,1.0,1.0,1.0,2.0,2.0,0.20005735145724746,0.20005735145724746,1,0,0,0,1,1,1,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.4,53,1,C07-AA-003,1.0,C07-AA-002,C07-AA-003,0,,,,,,,,,0.43404683470726013,,0.33404683470726015,,0.29094380928903546,,0.19094380928903545,,,,,,,,,0,0,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.6,11,0,C07-AA-004,2.0,C07-AA-003,C07-AA-001,0,,,,,,,,,0.9797371029853821,,0.7797371029853821,,0.9271498855761106,,0.7271498855761105,,,,,,,,,0,0,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.6,11,1,C07-AA-002,2.0,C07-AA-001,C07-AA-001,1,C07-AA-001,1.0,0.9195268154144287,0.9350534081459045,0.8001995086669922,1.4940134286880493,2.361724615097046,0.9576485753059387,0.9900150299072266,0.8576485753059387,0.7900150299072266,0.9786975946374854,0.9793709969173673,0.8786975946374854,0.7793709969173672,1.0,1.0,1.0,1.0,2.0,2.0,0.20005735145724746,0.21852595997097524,0,1,1,0,1,1,1,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.6,11,2,C07-AA-003,1.0,C07-AA-003,C07-AA-001,0,,,,,,,,,0.45390838384628296,,0.353908383846283,,0.7476309664486758,,0.6476309664486758,,,,,,,,,0,0,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.6,23,0,C07-AA-004,2.0,C07-AA-003,C07-AA-001,0,,,,,,,,,0.9797371029853821,,0.7797371029853821,,0.9271498855761106,,0.7271498855761105,,,,,,,,,0,0,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.6,23,1,C07-AA-002,2.0,C07-AA-001,C07-AA-001,1,C07-AA-001,1.0,0.9195268154144287,0.9350534081459045,0.8001995086669922,1.4940134286880493,2.361724615097046,0.9576485753059387,0.9900150299072266,0.8576485753059387,0.7900150299072266,0.9786975946374854,0.9793709969173673,0.8786975946374854,0.7793709969173672,1.0,1.0,1.0,1.0,2.0,2.0,0.20005735145724746,0.21852595997097524,0,1,1,0,1,1,0,1,1,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.6,23,2,C07-AA-003,1.0,C07-AA-003,C07-AA-001,0,,,,,,,,,0.45390838384628296,,0.353908383846283,,0.7476309664486758,,0.6476309664486758,,,,,,,,,0,0,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.6,37,0,C07-AA-004,2.0,C07-AA-003,C07-AA-001,0,,,,,,,,,0.9797371029853821,,0.7797371029853821,,0.9271498855761106,,0.7271498855761105,,,,,,,,,0,0,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.6,37,1,C07-AA-002,2.0,C07-AA-001,C07-AA-001,1,C07-AA-001,1.0,0.9195268154144287,0.9350534081459045,0.8001995086669922,1.4940134286880493,2.361724615097046,0.9576485753059387,0.9900150299072266,0.8576485753059387,0.7900150299072266,0.9786975946374854,0.9793709969173673,0.8786975946374854,0.7793709969173672,1.0,1.0,1.0,1.0,2.0,2.0,0.20005735145724746,0.21852595997097524,0,1,1,0,1,1,0,1,1,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.6,37,2,C07-AA-003,1.0,C07-AA-003,C07-AA-001,0,,,,,,,,,0.45390838384628296,,0.353908383846283,,0.7476309664486758,,0.6476309664486758,,,,,,,,,0,0,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.6,41,0,C07-AA-004,2.0,C07-AA-003,C07-AA-001,0,,,,,,,,,0.9797371029853821,,0.7797371029853821,,0.9271498855761106,,0.7271498855761105,,,,,,,,,0,0,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.6,41,1,C07-AA-002,2.0,C07-AA-001,C07-AA-001,1,C07-AA-001,1.0,0.9195268154144287,0.9350534081459045,0.8001995086669922,1.4940134286880493,2.361724615097046,0.9576485753059387,0.9900150299072266,0.8576485753059387,0.7900150299072266,0.9786975946374854,0.9793709969173673,0.8786975946374854,0.7793709969173672,1.0,1.0,1.0,1.0,2.0,2.0,0.20005735145724746,0.21852595997097524,0,1,1,0,1,1,1,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.6,41,2,C07-AA-003,1.0,C07-AA-003,C07-AA-001,0,,,,,,,,,0.45390838384628296,,0.353908383846283,,0.7476309664486758,,0.6476309664486758,,,,,,,,,0,0,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.6,53,0,C07-AA-004,2.0,C07-AA-003,C07-AA-001,0,,,,,,,,,0.9797371029853821,,0.7797371029853821,,0.9271498855761106,,0.7271498855761105,,,,,,,,,0,0,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.6,53,1,C07-AA-002,2.0,C07-AA-001,C07-AA-001,1,C07-AA-001,1.0,0.9195268154144287,0.9350534081459045,0.8001995086669922,1.4940134286880493,2.361724615097046,0.9576485753059387,0.9900150299072266,0.8576485753059387,0.7900150299072266,0.9786975946374854,0.9793709969173673,0.8786975946374854,0.7793709969173672,1.0,1.0,1.0,1.0,2.0,2.0,0.20005735145724746,0.21852595997097524,0,1,1,0,1,1,1,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.6,53,2,C07-AA-003,1.0,C07-AA-003,C07-AA-001,0,,,,,,,,,0.45390838384628296,,0.353908383846283,,0.7476309664486758,,0.6476309664486758,,,,,,,,,0,0,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,discriminative,0.2,11,0,C07-AA-001,1.0,C07-AA-002,C07-AA-001,0,,,,,,,,,0.6723805069923401,,0.5723805069923401,,0.2810105832526592,,0.1810105832526592,,,,,,,,,0,0,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,discriminative,0.2,23,0,C07-AA-001,1.0,C07-AA-002,C07-AA-001,0,,,,,,,,,0.6723805069923401,,0.5723805069923401,,0.2810105832526592,,0.1810105832526592,,,,,,,,,0,0,0,0,1,1,0,0,0,1
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,discriminative,0.2,23,1,C07-AA-002,2.0,C07-AA-002,C07-AA-002,1,C07-AA-002,2.0,0.9972466230392456,0.8929557204246521,0.8929557204246521,1.9102389812469482,1.9102389812469482,0.9174831509590149,0.9174831509590149,0.7174831509590149,0.7174831509590149,0.4383887205377668,0.4383887205377668,0.23838872053776677,0.23838872053776677,0.5,0.5,1.0,1.0,1.0,1.0,0.9983189702033997,0.9983189702033997,1,0,0,0,1,1,1,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,discriminative,0.2,37,0,C07-AA-001,1.0,C07-AA-002,C07-AA-001,0,,,,,,,,,0.6723805069923401,,0.5723805069923401,,0.2810105832526592,,0.1810105832526592,,,,,,,,,0,0,0,0,1,1,0,0,0,1
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,discriminative,0.2,37,1,C07-AA-002,2.0,C07-AA-002,C07-AA-002,1,C07-AA-002,2.0,0.9972466230392456,0.8929557204246521,0.8929557204246521,1.9102389812469482,1.9102389812469482,0.9174831509590149,0.9174831509590149,0.7174831509590149,0.7174831509590149,0.4383887205377668,0.4383887205377668,0.23838872053776677,0.23838872053776677,0.5,0.5,1.0,1.0,1.0,1.0,0.9983189702033997,0.9983189702033997,1,0,0,0,1,1,1,1,0,0
